Feature,Importance
lactate,5.046705e-05
c-reactive_protein,4.0913314e-05
bilirubin,3.791933e-05
age,3.5116453e-05
respiratory_minute_volume,2.8839428e-05
quick_score,2.7163696e-05
aspartate_transaminase,2.3537506e-05
calcium,2.2980075e-05
stroke_volume,1.8830726e-05
creatinine,1.7199134e-05
delta-temperature,1.7171691e-05
partial_co2,1.6807597e-05
sodium,1.61185e-05
blood_urea_nitrogen,1.5764352e-05
leukocytes,1.4935823e-05
svri,1.4218217e-05
fraction_of_inspired_o2,1.3951825e-05
partial_pressure_art._o2,1.3789086e-05
base_excess,1.2716989e-05
procalcitonin,1.2393284e-05
oxygen_saturation,1.2021527e-05
net balance,1.0564486e-05
systolic_bp,1.0381685e-05
bun/creatinine_ratio,9.78214e-06
bicarbonate,9.5495425e-06
arterial_ph,9.016885e-06
potassium,8.707506e-06
hemoglobin,7.4329437e-06
lymphocytes,7.3165265e-06
pancreatic_lipase,5.8154023e-06
heart_time_volume,5.7782913e-06
respiratory_rate,5.3738186e-06
alanine_transaminase,5.364829e-06
chloride,4.9802807e-06
horowitz_index,4.6956925e-06
blood_glucose,4.048644e-06
diastolic_bp,3.7484715e-06
urine_output,3.716407e-06
heart_rate,3.4196319e-06
thrombocytes,3.2725986e-06
temperature,3.0097476e-06
mixed_venous_oxygen_saturation,2.7478686e-06
mean_bp,2.2044587e-06
timestep,5.9795275e-07
